Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028568831,0.316411659,0.129034565,1.06014633,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,0.041584861,0.307432797,0.129126325,1.067862775,0,0,0,0,0,0,0,0,0,0,0,0,0
62.5,0.047413592,0.298007232,0.129223118,1.075962365,0,0,0,0,0,0,0,0,0,0,0,0,0
87.5,0.051409784,0.288300493,0.129323325,1.084302747,0,0,0,0,0,0,0,0,0,0,0,0,0
112.5,0.054519448,0.278361199,0.129426517,1.092842039,0,0,0,0,0,0,0,0,0,0,0,0,0
137.5,0.057095601,0.268213865,0.129532514,1.101559066,0,0,0,0,0,0,0,0,0,0,0,0,0
162.5,0.059311463,0.257873237,0.129641239,1.110441043,0,0,0,0,0,0,0,0,0,0,0,0,0
187.5,0.061265837,0.247349008,0.129752673,1.119479517,0,0,0,0,0,0,0,0,0,0,0,0,0
212.5,0.063020805,0.236647873,0.129866836,1.128668597,0,0,0,0,0,0,0,0,0,0,0,0,0
237.5,0.064618111,0.225774591,0.129983777,1.138004043,0,0,0,0,0,0,0,0,0,0,0,0,0
251.5,0.000353544,0.218943638,0.130057594,1.143868326,0.522399234,0.409505616,0.590494384,1.808450169,1.808450169,1.808450169,8.971461198,8.967921435,8.96383784,231.0429114,231.0468972,231.0514954,0.105753306
254.5,0.025953714,0.188980263,0.130057577,1.165640067,0.513315186,0.483229533,0.516770467,1.808450169,1.808450169,1.808450169,7.581553147,7.575584737,7.568699369,226.2073662,226.2140867,226.2218396,0.132504282
257.5,0.032463961,0.148904268,0.130057589,1.19325937,0.492849485,0.646349295,0.353650705,1.808450169,1.808450169,1.808450169,5.811013097,5.801356924,5.790217223,220.0476139,220.0584868,220.0710302,0.195534972
260.5,0.035914503,0.113733471,0.130057635,1.217043307,0.455588628,0.870290931,0.129709069,1.808450169,1.808450169,1.808450169,4.334744394,4.320409557,4.303872386,214.9116388,214.92778,214.946401,0.27545902
263.5,0.037476103,0.093951678,0.130057642,1.23027557,0.394668797,0.984030928,0.015969072,1.808450168,1.808450169,1.808450169,3.534333889,3.518819765,3.500922127,212.1269909,212.14446,212.1646129,0.290859748
