Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028564317080179,1.5273237040304957,0.1290360232600272,-7.22390954689127e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.041578106072783866,1.5271539885925083,0.12913043883022107,-2.143587357415289e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04740577987264978,1.5269759290031908,0.12922947954194522,-6.023036037858783e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05140121991503468,1.5267926835544925,0.12933140006521984,-2.8774920018779108e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05451027728059455,1.526605185423224,0.1294356848423587,-2.7395997412385237e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05708590994793303,1.5264139090947229,0.12954207209657864,-6.100637610363457e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.059301306163595295,1.5262191428037055,0.12965040291293567,-2.3154085906090263e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06125525284011359,1.526021078573647,0.12976057159408053,-2.5477936797296548e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06300982056455814,1.5258198513207653,0.12987250392106173,-4.3570133366395626e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06460674571384278,1.5256155593068803,0.12998614602149677,-8.990693578091901e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.00035349368765423496,1.5254872134726165,0.13005753803571002,-5.236056840127154e-11,0.5815116409018481,0.1835534576715351,0.8164465423562888,1.8084501689005545,1.8084501689005654,1.8084501688967856,13.482075267365401,13.480262755357488,13.478171777855906,111.52454799176866,111.526588894564,111.52894335169826,0.05414857036361353
254.5,0.026266964235493136,1.5201952791683309,0.13005752852937846,-1.6863227415128322e-10,0.5756771832005709,0.19884130393119773,0.8011586960637549,1.8084501689016275,1.8084501689005654,1.8084501689004622,13.42436869298521,13.421418352115191,13.418014735281602,111.43380040797072,111.43712251502575,111.44095501438552,0.06521963086571221
257.5,0.0333550476302346,1.5103570134811128,0.1300575203043674,-1.8386356036716364e-09,0.5628071935493424,0.23801269214470594,0.7619873078430202,1.808450168904299,1.8084501689005654,1.8084501688990455,13.31733681284923,13.312460672995725,13.306835386827277,111.26549053778349,111.27098110966055,111.27731522618812,0.09742881960413968
260.5,0.03773337207143804,1.4989575632537098,0.13005758271968684,-8.758939962451755e-08,0.539412025544503,0.3296251975241745,0.6703748024648422,1.8084501689004306,1.8084501689005654,1.8084501688893748,13.19370620594886,13.183294743266613,13.171283714301222,111.07107885256018,111.08280224153577,111.09632675474357,0.1943618927029037
263.5,0.040562610670308544,1.488699253731275,0.13005782065628196,-2.9526414441888295e-10,0.4950052575166936,0.5690524672482301,0.4309475309350549,1.8084501688999914,1.8084501689005654,1.8084501688932595,13.082730443495732,13.04968631107205,13.011565439510571,110.89656729730108,110.93377525064895,110.9766996522478,0.5888410864635488
