Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.02856882972403102,0.31641165878305294,0.12903456594953427,1.0601463282988022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.041584858670416655,0.30743279586186195,0.12912632901325394,1.0678627705431096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04741358945934565,0.29800722993034434,0.12922312409793332,1.0759623576011148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05140978114787283,0.2883004898495672,0.129323333777229,1.0843027364611668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05451944482627543,0.2783611947662735,0.12942652876595104,1.0928420243287877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057095598564016796,0.26821386014929854,0.12953252818406102,1.101559047861976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05931146036113239,0.25787323202031154,0.12964125557459236,1.1104410208202316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06126583434953572,0.2473490016842264,0.1297526924714434,1.1194794913159254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06302080218101255,0.23664786589428696,0.12986685866292869,1.1286685676346884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.0646181079181337,0.2257745836460311,0.1299838031164695,1.1380040097560007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0003535438065019544,0.21894363020102556,0.13005762200228818,1.1438682903481314,0.51494527711961,0.4452881687438548,0.5547118311965974,1.808450168900761,1.8084501689005654,1.8084501689147399,8.971443406704639,8.967131843908621,8.962157873658851,231.0428536317269,231.04770848539198,231.0533092150657,0.1288123536382736
254.5,0.025806237975477982,0.18980071169566812,0.13005759605970876,1.165044706493274,0.50840446164131,0.5085345697400304,0.491465430577342,1.8084501689006427,1.8084501689005654,1.8084501688778096,7.618818305967356,7.612103856175177,7.604357831108033,226.33701237299525,226.34457289634105,226.3532949815715,0.14936496447540823
257.5,0.0321215356568307,0.15211966319460923,0.13005758598575412,1.1910321546831706,0.49427938231059415,0.6338769266835176,0.366123073081379,1.80845016888558,1.8084501689005654,1.808450168914071,5.94950097571243,5.940079438282993,5.929210421845896,220.5294173181736,220.5400260435303,220.55226464164326,0.19175051459699552
260.5,0.03543531099027825,0.11966864850213077,0.13005761585569228,1.2130113173644324,0.47041811795154975,0.8037403592934637,0.19625964030659188,1.8084501689325512,1.8084501689005654,1.8084501688386387,4.579032657186912,4.566292920478797,4.551595912832048,215.76152339405596,215.77586843792585,215.7924173842829,0.24663406673505317
263.5,0.036992737348121876,0.10072891862111635,0.13005763797621012,1.2257073407670913,0.43403437821854596,0.9380766710341579,0.061923328710654514,1.8084501688823946,1.8084501689005654,1.808450168902156,3.806210199947304,3.7912023595241227,3.7738887877897342,213.07285600323607,213.08975494975505,213.10925016789184,0.28354153572648483
