i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0.0,1.0374783867217556,0.0,0.0
0.001,0.9513536751118425,0.0009513536751118426,0.08612471160991308
0.012,0.8769056781324056,0.010522868137588867,0.16057270858935002
0.023000000000000003,0.85642382717943,0.01969774802512689,0.18105455954232563
0.034,0.8443577480973915,0.028708163435311313,0.19312063862436413
0.045000000000000005,0.8354757535754612,0.03759640891089576,0.2020026331462944
0.05600000000000001,0.8283715137546197,0.04638880477025871,0.20910687296713593
0.067,0.8224038855194807,0.05510106032980521,0.2150745012022749
0.07800000000000001,0.817229020472824,0.06374386359688028,0.22024936624893166
0.08900000000000001,0.8126390745266152,0.07232487763286877,0.22483931219514042
0.1,0.8084990793332163,0.08084990793332164,0.22897930738853933
0.2,0.7817119195427152,0.15634238390854305,0.2557664671790404
0.34444444444444444,0.7570197159586607,0.260751235496872,0.28045867076309494
0.48888888888888893,0.7386100832878977,0.36109826294075,0.29886830343385795
0.6333333333333333,0.7233118188673872,0.4580974852826785,0.3141665678543685
0.7777777777777779,0.7098514574706223,0.5521066891438174,0.32762692925113335
0.9222222222222223,0.6975465576381706,0.6432929364885351,0.339931829083585
1.0666666666666667,0.6859511127469815,0.7316811869301136,0.3515272739747741
1.2111111111111112,0.6747128937811511,0.8171522824682831,0.36276549294060456
1.3555555555555556,0.6634894635296142,0.8993968283401438,0.3739889231921414
1.5,0.6518696151638868,0.9778044227458301,0.3856087715578689
1.8,0.6235389210874119,1.1223700579573415,0.4139394656343437
1.8333333333333335,0.6197287454863641,1.136169366725001,0.4177496412353915
1.8666666666666667,0.6157220004043272,1.1493477340880776,0.4217563863174284
1.9000000000000001,0.6115001386459511,1.1618502634273071,0.42597824807580453
1.9333333333333333,0.607046188070235,1.173622630269121,0.4304321986515206
1.9666666666666668,0.6023459254187733,1.1846136533235876,0.43513246130298233
2.0,0.5973890147931966,1.1947780295863932,0.440089371928559
2.033333333333333,0.5921698805381344,1.2040787570942064,0.4453085061836213
2.066666666666667,0.5866880769133127,1.212488692287513,0.4507903098084429
2.1,0.5809480130856852,1.219990827479939,0.4565303736360704
