Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.02856883510117073,0.31641166049377145,0.12903456114933834,1.0601463342643258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04158486667969941,0.3074328009681021,0.12912631429411456,1.0678627889465915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04741359867166817,0.29800723839947596,0.12922309897572046,1.0759623892412085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05140979119116916,0.2883005015790243,0.12932329793885483,1.0843027818246516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05451945551939859,0.27836120969385625,0.1294264819780097,1.0928420839800508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057095609797998284,0.26821387813668596,0.1295324702171018,1.1015591221720664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.0593114720617302,0.25787325296717367,0.129641186229654,1.1104411103510219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06126584646309071,0.24734902545709053,0.12975261153345452,1.1194795962473951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06302081466626747,0.23664789238191491,0.12986676598376398,1.1286686886263206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.0646181207445437,0.22577461269271984,0.12998369846947289,1.1380041470515643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0003535438628214223,0.21894366078289715,0.13005750984688863,1.1438684378665436,0.5538326651843871,0.29264887228052683,0.7073511276916632,1.8084501689006116,1.8084501689005654,1.8084501688867016,8.971507993842781,8.971492735878186,8.97147513375442,231.04307006115985,231.04478811998976,231.04677013298829,0.08472553940066235
254.5,0.026085699858271666,0.1882305574538118,0.13005751890189976,1.166184155294393,0.5473553113648094,0.33498251601060347,0.6650174838768276,1.808450168900479,1.8084501689005654,1.808450168892581,7.547598606837273,7.5475732977116,7.547544100215454,226.08923749353647,226.09208732101965,226.0953749820803,0.10424849008675827
257.5,0.03284740851893415,0.14520936720804803,0.13005752519484054,1.195811198482328,0.5329082062066294,0.436074030191277,0.5639259695424106,1.8084501689012649,1.8084501689005654,1.8084501689050456,5.652737007353098,5.652695543469239,5.652647709276748,219.49696739322874,219.50163625920655,219.5070224269531,0.15517108649127553
260.5,0.036703714377849424,0.10360985259983053,0.13005757688931496,1.2238790036784402,0.5065987187457099,0.6384093487616174,0.36159065108618305,1.8084501689020014,1.8084501689005654,1.8084501689244292,3.922660401728574,3.9225858167015133,3.922499772795122,213.4779884773586,213.48638681014523,213.49607542176864,0.2631097051372539
263.5,0.038720513112772637,0.07584120830019382,0.1300576429017597,1.2423657439489566,0.4601765932901278,0.8967182380310934,0.10328175804784304,1.8084501688896464,1.8084501689005654,1.8084501688565415,2.8196181396778623,2.819503108550044,2.8193704046014942,209.6404774773576,209.65343007294226,209.66837264205986,0.3928922315003454
