i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0.0,1.0662950062355605,0.0,0.0
0.001,0.9869614079192089,0.000986961407919209,0.07933359831635156
0.012,0.913574869569921,0.010962898434839052,0.15272013666563955
0.023000000000000003,0.8933750314078113,0.020547625722379663,0.17291997482774923
0.034,0.8810692025524912,0.029956352886784703,0.1852258036830693
0.045000000000000005,0.871955113008205,0.03923798008536923,0.19433989322735545
0.05600000000000001,0.8646270641204462,0.04841911559074499,0.2016679421151143
0.067,0.8584455032070311,0.05751584871487109,0.20784950302852945
0.07800000000000001,0.8530647695261722,0.06653905202304145,0.21323023670938834
0.08900000000000001,0.8482766077099245,0.07549661808618328,0.21801839852563598
0.1,0.843945706827692,0.0843945706827692,0.22234929940786852
0.2,0.8157081966194338,0.16314163932388678,0.25058680961612667
0.34444444444444444,0.7895802616559033,0.2719665345703667,0.27671474457965717
0.48888888888888893,0.7702326676454891,0.37655819307112803,0.29606233859007136
0.6333333333333333,0.7543351134601418,0.4777455718580898,0.3119598927754187
0.7777777777777779,0.7405510497536869,0.5759841498084233,0.3257439564818736
0.9222222222222223,0.7281947662644651,0.6715573955550067,0.3381002399710954
1.0666666666666667,0.7168646183250791,0.7646555928800843,0.3494303879104814
1.2111111111111112,0.7063045769620014,0.8554133209873129,0.35999042927355906
1.3555555555555556,0.6963413834020796,0.9439294308339302,0.3699536228334809
1.5,0.6868523705918996,1.0302785558878496,0.3794426356436609
1.8,0.6682942856636178,1.2029297141945121,0.3980007205719427
1.8333333333333335,0.6663097474224682,1.2215678702745252,0.3999852588130923
1.8666666666666667,0.664338460515415,1.2400984596287747,0.4019565457201455
1.9000000000000001,0.6623799075555413,1.2585218243555285,0.4039150986800192
1.9333333333333333,0.6604335969504488,1.2768382874375344,0.4058614092851117
1.9666666666666668,0.6584990611496223,1.2950481535942573,0.4077959450859382
2.0,0.6565758550341393,1.3131517100682786,0.4097191512014212
2.033333333333333,0.6546635544341318,1.3311492273494012,0.4116314518014287
2.066666666666667,0.652761754762262,1.3490409598420081,0.41353325147329856
2.1,0.6508700697524825,1.3668271464802133,0.415424936483078
