Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028564319476219038,1.527323707602749,0.12903602120614496,-1.1525081860619516e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04157810963464042,1.5271539995479453,0.12913043253366405,-2.5612337078757784e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.047405783962127315,1.5269759480329788,0.12922946882365885,-8.118046737594244e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05140122436504968,1.5267927106745882,0.12933138477896702,-2.6184285667630528e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05451028200962949,1.526605220863671,0.12943566488659636,-4.5649965487099533e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05708591490664363,1.526413953028634,0.1295420473784614,-3.955484499291674e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05930131131854896,1.5262191953259994,0.12965037334119553,-4.04563927922316e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.061255258167029564,1.5260211398473356,0.12976053708870122,-1.936340333966159e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06300982604495683,1.5258199214999004,0.1298724644051217,-4.0531093809904103e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06460675133318407,1.5256156385122719,0.12998610141805103,-9.735296478265696e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.00035349371230236837,1.525487298312293,0.13005749023349042,-4.121497885786933e-13,0.6049953011198311,0.13745884125439656,0.8625411587461544,1.749655123464968,1.7496551234649649,1.7496551234630071,13.04376109006717,13.04285210597015,13.041803469995399,107.89874963401537,107.8997731572673,107.9009539296334,0.05047337325573921
254.5,0.026289221386574607,1.5201733552095578,0.13005749813376444,-9.101681715076898e-14,0.5994460564541952,0.14684515945401874,0.8531548405452661,1.7496551234649544,1.7496551234649649,1.7496551234649913,12.987701549164266,12.986224393953846,12.984520295830437,107.81059231144359,107.81225559984384,107.81417442775141,0.06067378641612225
257.5,0.03341583864320752,1.5102261447533587,0.13005749425116434,-5.0124264063392976e-17,0.5872101836170036,0.17150357102278838,0.82849642897736,1.7496551234649778,1.7496551234649649,1.749655123464956,12.883010145077254,12.880570352877582,12.877755722918838,107.6459628878697,107.6487101131011,107.65187940860125,0.09052483492751787
260.5,0.03785576601453022,1.4985565367693805,0.13005753535938905,-7.642438896517181e-10,0.5649678651312499,0.23215975025524124,0.7678402497453095,1.7496551234649438,1.7496551234649649,1.7496551234656386,12.760589258132429,12.75531133485542,12.749222537220355,107.45345351005366,107.4593964932298,107.46625252731917,0.1827712495022935
263.5,0.04079456771395971,1.487736492463859,0.1300577418161483,-4.177888265956671e-10,0.5224893920482241,0.41332310501633956,0.5866768949839424,1.7496551234651234,1.7496551234649649,1.7496551234649014,12.64741743389641,12.628759541816395,12.607235142311195,107.27548861254336,107.29649754596554,107.32073418932363,0.6155567558983742
