i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478604,0,0
0.001,0.911644308,0.000911644,0.125834295
0.012,0.837175454,0.010046105,0.20030315
0.023,0.816493587,0.018779353,0.220985017
0.034,0.804355588,0.02734809,0.233123016
0.045,0.795402551,0.035793115,0.242076053
0.056,0.788226226,0.044140669,0.249252377
0.067,0.782186911,0.052406523,0.255291692
0.078,0.776939899,0.060601312,0.260538704
0.089,0.772277167,0.068732668,0.265201437
0.1,0.768063621,0.076806362,0.269414983
0.5,0.693287219,0.34664361,0.344191385
0.614285714,0.679681102,0.417518391,0.357797502
0.728571429,0.667045554,0.485990332,0.37043305
0.842857143,0.654956833,0.552035045,0.382521771
0.957142857,0.643090779,0.615529745,0.394387825
1.071428571,0.631159294,0.676242101,0.40631931
1.185714286,0.618872457,0.733805914,0.418606147
1.3,0.605913577,0.78768765,0.431565027
1.414285714,0.591926942,0.837153818,0.445551661
1.528571429,0.576524769,0.88125929,0.460953834
1.642857143,0.559315247,0.918875048,0.478163357
1.757142857,0.539932296,0.948738177,0.497546308
1.871428571,0.518027334,0.969451153,0.51945127
1.985714286,0.493189874,0.979334178,0.54428873
2.1,0.464728576,0.975930009,0.572750028
2.2,0.435621564,0.95836744,0.60185704
2.235714286,0.423790279,0.947473981,0.613688325
2.271428571,0.410812707,0.93313172,0.626665897
2.307142857,0.396167605,0.91401526,0.641310999
2.342857143,0.378775115,0.887415983,0.658703489
2.378571429,0.355734737,0.846140481,0.681743867
2.414285714,0.311753243,0.752661402,0.72572536
2.45,0,0,1.037478604
