Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028526324418760667,0.3164432309552848,0.1290350094887737,1.0601180038706548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.041521498933569406,0.30753041872058606,0.1291276760580835,1.0677752278957893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04734066281822592,0.2981753993221178,0.12922539899799154,1.0758116239890032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05133022091197443,0.2885422625626275,0.129326544936507,1.0840861229295002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.054434674046090314,0.27867922421795793,0.12943067872529632,1.0925572047106025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057006475564607674,0.2686106089849702,0.12953761546373324,1.1012038686382655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05921856596955264,0.2583510582354993,0.12964727538089937,1.1100134255535266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.061169590880661324,0.24791020302861239,0.12975963688380512,1.1189774807309356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06292153220551581,0.23729470639541816,0.1298747166863517,1.1280901776594219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06451606684232539,0.22650931059093296,0.129992560301953,1.1373472949689623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.60000000000002,0.00035225571630453413,0.22055675500920532,0.13005787759701856,1.142455945665182,0.474057963841597,0.6715787039921162,0.3284212960456332,1.7496551234633817,1.7496551234649649,1.7496551234309041,8.753654065078733,8.742865729521569,8.73041992676912,223.78844855758442,223.80059630838795,223.81461038030253,0.15928332228278175
251.79999999999998,0.020976665521568582,0.20996532522847608,0.1300578107707595,1.1501648577792023,0.4690184551353591,0.7103231783925603,0.2896768217666694,1.7496551234688968,1.7496551234649649,1.7496551235058322,8.270633894558511,8.256114420709883,8.239364245801589,222.10793423815957,222.1242832800628,222.14314410892453,0.1700022296421576
252.99999999999997,0.025393835074510523,0.19827617420234922,0.1300577917980616,1.1583621463431741,0.45860030600280405,0.7759561324127507,0.22404386745782404,1.7496551233694388,1.7496551234649649,1.7496551235348716,7.745933809254809,7.7285486011449445,7.70849241455466,220.28248952002815,220.30206540128222,220.32464882533566,0.19217770276646523
254.2,0.027578041301555906,0.18910778993328242,0.13005783360746123,1.1647252391830178,0.442101914500712,0.8554580504165002,0.14454194978372653,1.7496551236574873,1.7496551234649649,1.7496551234594206,7.340357530545561,7.319560247635069,7.295567771742434,218.87147948969178,218.8948973940379,218.92191311084852,0.22316457391663422
255.39999999999998,0.028575573524458085,0.18397492238125904,0.13005788081245034,1.1682690287452673,0.4185428979693731,0.9277407359345424,0.07225926361421159,1.7496551233745845,1.7496551234649649,1.749655123490139,7.115528663046762,7.091397490743832,7.063558922983517,218.08929472772854,218.11646661777843,218.14781306432366,0.2553721716570333
