i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478603,0,0
0.001,0.911622027,0.000911622,0.125856576
0.022357143,0.817125823,0.018268599,0.22035278
0.043714286,0.795892604,0.034791877,0.241585999
0.065071429,0.78253761,0.05092084,0.254940993
0.086428571,0.772494501,0.066765596,0.264984103
0.107785714,0.764298586,0.082380469,0.273180017
0.129142857,0.757287772,0.097798306,0.280190832
0.1505,0.751105326,0.113041352,0.286373277
0.171857143,0.745536459,0.128125766,0.291942145
0.193214286,0.740441464,0.143063869,0.297037139
0.214571429,0.735724137,0.157865379,0.301754467
0.235928571,0.731315243,0.17253816,0.306163361
0.257285714,0.727163175,0.187088697,0.310315428
0.278642857,0.723228348,0.201522413,0.314250256
0.3,0.719479653,0.215843896,0.31799895
0.5,0.690109738,0.345054869,0.347368865
0.655555556,0.671111823,0.439951084,0.36636678
0.811111111,0.653445522,0.530016923,0.384033081
0.966666667,0.635980837,0.614781476,0.401497766
1.122222222,0.617676089,0.693169834,0.419802514
1.277777778,0.597345302,0.763274553,0.440133301
1.433333333,0.573644162,0.822223299,0.463834441
1.588888889,0.545376387,0.866542482,0.492102216
1.744444444,0.511792369,0.892793355,0.525686234
1.9,0.472363054,0.897489803,0.565115549
2.1,0.410883273,0.862854873,0.62659533
2.125,0.401958766,0.854162377,0.635519838
2.15,0.392618849,0.844130525,0.644859754
2.175,0.382775432,0.832536565,0.654703171
2.2,0.372300023,0.819060051,0.66517858
2.225,0.360995271,0.803214479,0.676483332
2.25,0.348535777,0.784205498,0.688942826
2.275,0.334326883,0.760593659,0.70315172
2.3,0.317090574,0.729308319,0.72038803
2.325,0.293116756,0.681496459,0.744361847
2.35,0.234644079,0.551413586,0.802834524
2.375,0,0,1.037478603
