Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028269160697818145,0.31663348566522553,0.1290348834626975,1.059951671699662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04113826899810005,0.3081183981216899,0.12912721276040226,1.0672612960559444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04689962079108042,0.29918771956062423,0.1292244631568701,1.074927006943771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05084909968243914,0.2899969262225539,0.1293250128659588,1.082815255770747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.053922076241804624,0.28059180733083267,0.1294284230898889,1.0908866513718505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05646758986249464,0.27099553326636355,0.12953450154059284,1.0991212149787077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05865690351562706,0.26122210501688065,0.12964315882022176,1.107506832713126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06058770459677676,0.2512807790208345,0.12975436179280816,1.1160354555394112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06232137206617252,0.2411780015545549,0.1298681137437619,1.1247014371717563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06389917680689318,0.23091840124729807,0.12998444473963458,1.1335006804382093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0003503769472645503,0.22447466324303186,0.13005781050552803,1.139026737962769,0.4778917457903744,0.6457209810893588,0.3542790189171433,1.808450168899246,1.8084501689005654,1.808450168893884,9.234402678810218,9.224877515816452,9.213888953295506,231.9577000167552,231.9684254253017,231.9807986332408,0.15624197254036581
254.5,0.025341547141838654,0.19789486094580536,0.13005766599653418,1.1583318090486985,0.46553360481213635,0.7407637027478975,0.2592362972252325,1.808450168897749,1.8084501689005654,1.8084501689120291,7.98874190285874,7.977608418460458,7.964764439888531,227.62398601814996,227.63652240926405,227.65098483028868,0.1826233907755314
257.5,0.03121352208283045,0.16592009754294104,0.13005764489982483,1.1804131089964598,0.43873065382252113,0.8833184228274895,0.11668157708579728,1.8084501688265573,1.8084501689005654,1.8084501689343444,6.550609454537269,6.53727789123914,6.521898131659282,222.6206878283898,222.6356992736561,222.65301700406616,0.21867864603480022
260.5,0.03404963991282999,0.14127839155925756,0.13005763706272191,1.1971619664071995,0.39463106037056006,0.9748334861439196,0.025166513690346556,1.80845016882127,1.8084501689005654,1.8084501691262114,5.484751871617038,5.470925362118682,5.454974615221454,218.912543056147,218.92811181473274,218.9460724813591,0.22679728617505407
263.5,0.035272138757342975,0.12838957874896598,0.13005762215490171,1.2058521414413947,0.3325926711490705,0.9972929412673863,0.0027070579372957407,1.8084501690612604,1.8084501689005654,1.8084501693019774,4.941307202381128,4.928159747329892,4.912992381488915,217.02188566342483,217.03668980135504,217.05376837474236,0.2156587044680449
