i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478603,0,0
0.001,0.911622027,0.000911622,0.125856576
0.022357143,0.817125813,0.018268599,0.22035279
0.043714286,0.795892579,0.034791876,0.241586024
0.065071429,0.782537566,0.050920837,0.254941037
0.086428571,0.772494432,0.06676559,0.264984171
0.107785714,0.764298488,0.082380458,0.273180116
0.129142857,0.757287639,0.097798289,0.280190964
0.1505,0.751105152,0.113041325,0.286373452
0.171857143,0.745536236,0.128125727,0.291942367
0.193214286,0.740441186,0.143063815,0.297037417
0.214571429,0.735723795,0.157865306,0.301754808
0.235928571,0.731314827,0.172538063,0.306163776
0.257285714,0.727162677,0.187088569,0.310315926
0.278642857,0.723227755,0.201522248,0.314250848
0.3,0.719478955,0.215843686,0.317999649
0.5,0.690107192,0.345053596,0.347371411
0.677777778,0.668529585,0.453114497,0.368949018
0.855555556,0.648465073,0.554797896,0.38901353
1.033333333,0.628272592,0.649215012,0.409206011
1.211111111,0.606330984,0.734334192,0.431147619
1.388888889,0.580728213,0.806566963,0.45675039
1.566666667,0.54955391,0.860967792,0.487924694
1.744444444,0.511545659,0.892362984,0.525932944
1.922222222,0.465875933,0.895517071,0.57160267
2.1,0.410431072,0.861905251,0.627047531
2.2,0.371699997,0.817739993,0.665778606
2.213157895,0.365837484,0.809656116,0.671641119
2.226315789,0.359700636,0.800807206,0.677777967
2.239473684,0.353233681,0.791057534,0.684244922
2.252631579,0.346360199,0.780221921,0.691118405
2.265789474,0.338971493,0.76803804,0.69850711
2.278947368,0.330905406,0.754116004,0.706573197
2.292105263,0.321904252,0.737838429,0.715574352
2.305263158,0.311520976,0.718137828,0.725957627
2.318421053,0.298871312,0.692909542,0.738607291
2.331578947,0.281772193,0.656974114,0.75570641
2.344736842,0.251394186,0.589453209,0.786084417
2.357894737,0,0,1.037478603
