Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028336823262069603,0.3165842227004801,0.12903481617720164,1.059994895715147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.041239083275921115,0.30796617979166113,0.12912702638848658,1.0673948209303208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04701563457267162,0.29892569953494774,0.1292241826161707,1.075156786178014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05097564959486023,0.2896204832943696,0.1293246637318527,1.0831452944781808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05405690001316754,0.28009694833915694,0.12942803289209254,1.091320402002837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05660932301408858,0.2703785646903339,0.12953410018677658,1.0996618640588778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.058804622717034565,0.2604795002957038,0.12964277893768048,1.1081574164419838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06074073850349762,0.25040910995447985,0.12975403908295222,1.1167989192731504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.062479207889929625,0.24017389756754112,0.1298678873797951,1.1255806704483784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06406140852682968,0.22977852285675474,0.12998435782785678,1.1344985394701643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0003510929503454368,0.22324913084204565,0.13005782576841785,1.1400994105774953,0.4758118845965318,0.6588819120855048,0.341118088481509,1.8084501688988521,1.8084501689005654,1.8084501689312895,9.17592445693959,9.166011632894502,9.154575850971431,231.7542538789041,231.7654157968473,231.77829257735513,0.16015674792236062
254.5,0.025380212776514196,0.19645027572808918,0.1300576456884714,1.1595660032533823,0.4629959386706279,0.7555092238981186,0.2444907764609277,1.8084501689003933,1.8084501689005654,1.8084501688882493,7.922455667408693,7.90705238180792,7.889282610627851,227.39337459020618,227.41071881110125,227.43072771339578,0.1863556990911854
257.5,0.031236636415793047,0.16441989634998141,0.13005762195616447,1.1816869625170248,0.43526757354599255,0.8951646746012187,0.10483532610238774,1.8084501688858532,1.8084501689005654,1.808450168938002,6.484813532564255,6.465120672491687,6.442402297565728,222.3917822082884,222.413956523821,222.439537592906,0.21955392816727431
260.5,0.034048878705562294,0.13994176176409362,0.13005761078829609,1.1983265344201912,0.38997022486190436,0.9787368166214332,0.021263182023055528,1.8084501686879628,1.8084501689005654,1.8084501689224344,5.428100042691261,5.40722689449124,5.383146897733752,218.715449930446,218.7389532597056,218.7660675256964,0.2231955054740698
263.5,0.03525804936966783,0.12719317907653793,0.1300575965317029,1.2069237259499208,0.3268124889875549,0.9978153671494056,0.002184633754808111,1.8084501692224264,1.8084501689005654,1.808450169208113,4.891483424220484,4.871407201023935,4.84824656493573,216.84854753494608,216.87115352037543,216.89723257901207,0.21073811934457962
