i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478603,0,0
0.001,0.911622027,0.000911622,0.125856576
0.022357143,0.817125822,0.018268599,0.220352781
0.043714286,0.795892603,0.034791877,0.241586
0.065071429,0.782537609,0.05092084,0.254940994
0.086428571,0.772494499,0.066765596,0.264984104
0.107785714,0.764298584,0.082380469,0.27318002
0.129142857,0.75728777,0.097798306,0.280190834
0.1505,0.751105323,0.113041351,0.28637328
0.171857143,0.745536455,0.128125765,0.291942148
0.193214286,0.74044146,0.143063868,0.297037143
0.214571429,0.735724132,0.157865378,0.301754471
0.235928571,0.731315237,0.172538159,0.306163366
0.257285714,0.727163169,0.187088695,0.310315434
0.278642857,0.723228342,0.201522411,0.314250262
0.3,0.719479647,0.215843894,0.317998956
0.5,0.690109734,0.345054867,0.347368869
0.677777778,0.668536029,0.453118864,0.368942574
0.855555556,0.648479673,0.554810387,0.38899893
1.033333333,0.62830335,0.649246795,0.409175253
1.211111111,0.606391707,0.734407734,0.431086897
1.388888889,0.580837847,0.806719232,0.456640756
1.566666667,0.549728742,0.861241696,0.487749861
1.744444444,0.511794439,0.892796965,0.525684165
1.922222222,0.466208134,0.896155635,0.571270469
2.1,0.410887113,0.862862938,0.62659149
2.2,0.372305137,0.819071301,0.665173466
2.213157895,0.366475518,0.811068187,0.671003085
2.226315789,0.360377709,0.802314584,0.677100894
2.239473684,0.35395805,0.792679739,0.683520553
2.252631579,0.34714333,0.781986027,0.690335273
2.265789474,0.339829974,0.769983179,0.697648629
2.278947368,0.331864537,0.756301813,0.705614066
2.292105263,0.323005446,0.740362484,0.714473157
2.305263158,0.312839158,0.721176586,0.724639445
2.318421053,0.300564437,0.696834918,0.736914166
2.331578947,0.284275867,0.662811628,0.753202736
2.344736842,0.256997121,0.602590618,0.780481482
2.357894737,0,0,1.037478603
