Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028336823305569157,0.31658422271373793,0.12903481613939527,1.0599948957623584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.041239083340693705,0.3079661798312386,0.12912702627260472,1.0673948210759538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.047015634647165405,0.29892569960045956,0.129224182418412,1.0751567864280576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.050975649676068296,0.2896204833853123,0.12932466344995097,1.0831452948373468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.0540569000996283,0.28009694845456395,0.12942803252402993,1.0913204024739998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.056609323104921186,0.27037856482950223,0.12953409973089242,1.0996618646463743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05880462281164235,0.2604795004577954,0.12964277839240415,1.1081574171484387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06074073860144639,0.2504091101383048,0.12975403844678776,1.1167989201013586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06247920799088764,0.24017389777207487,0.12986788665119378,1.1255806714016208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06406140863052155,0.22977852308104052,0.12998435700547303,1.13449854055059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0003510929508038055,0.2232491310784076,0.13005782488738152,1.140099411741205,0.47595473379359415,0.6580618748558164,0.341938125328634,1.808450168901065,1.8084501689005654,1.808450168905562,9.1759250475569,9.166072444287035,9.154706135165007,231.75425585477836,231.76534996365436,231.77814851724105,0.15974464189186838
254.5,0.025382923708477514,0.1964363228451633,0.13005764538593487,1.1595761239653293,0.46317176511457614,0.7544649919613318,0.24553500916997617,1.8084501689000019,1.8084501689005654,1.8084501688754437,7.921815810055827,7.910342692403068,7.897106900981985,227.39114850869393,227.40406732952738,227.41897093490587,0.18601876282079124
257.5,0.031243291265871533,0.16436454113639934,0.13005762192176673,1.1817253765188347,0.43550333930422674,0.8943285982045056,0.1056714015873493,1.8084501689579717,1.8084501689005654,1.8084501688430878,6.482383840953716,6.468844247404856,6.453224496822427,222.38332926015462,222.39857494912164,222.41616291129066,0.21952345624545117
260.5,0.034058942913912565,0.13983540887766066,0.1300576110283113,1.1983991133286964,0.3902683683361835,0.9784852219177025,0.02151477676205056,1.8084501689710293,1.8084501689005654,1.8084501689340002,5.423584618119095,5.409796714729885,5.393890505195819,218.69974068799303,218.71526597579583,218.7331764930004,0.2235494142026495
263.5,0.035269795502814345,0.12705608674730223,0.13005759681625043,1.2070166597617957,0.3271446899528608,0.9977860205903016,0.002213978158994136,1.8084501691681767,1.8084501689005654,1.8084501688678765,4.885761987042421,4.872737998374105,4.857713067688169,216.82864251002968,216.84330762384053,216.86022581412163,0.2111637248387679
