i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478603,0,0
0.001,0.91183106,0.000911831,0.125647544
0.022357143,0.8206227,0.018346779,0.216855903
0.043714286,0.799382782,0.034944447,0.238095821
0.065071429,0.786015911,0.051147178,0.251462692
0.086428571,0.775962403,0.067065322,0.2615162
0.107785714,0.767755821,0.08275311,0.269722782
0.129142857,0.760734017,0.098243364,0.276744586
0.1505,0.754540411,0.113558332,0.282938192
0.171857143,0.74896033,0.128714183,0.288518273
0.193214286,0.743854182,0.143723254,0.293624422
0.214571429,0.739125874,0.158595295,0.298352729
0.235928571,0.734706291,0.173338206,0.302772312
0.257285714,0.730543949,0.187958522,0.306934654
0.278642857,0.726599387,0.202461729,0.310879216
0.3,0.722841632,0.21685249,0.314636971
0.5,0.693448557,0.346724279,0.344030046
0.584210526,0.682965991,0.398995921,0.354512612
0.668421053,0.673112028,0.449922251,0.364366575
0.752631579,0.663691239,0.499514985,0.373787364
0.836842105,0.654554945,0.547759138,0.382923659
0.921052632,0.645581077,0.59461415,0.391897526
1.005263158,0.636661937,0.64001279,0.400816666
1.089473684,0.627695988,0.683858261,0.409782615
1.173684211,0.618581898,0.726019807,0.418896705
1.257894737,0.609214099,0.766327209,0.428264504
1.342105263,0.599479799,0.804564993,0.437998804
1.426315789,0.589257899,0.840467846,0.448220704
1.510526316,0.578420591,0.873719524,0.459058012
1.594736842,0.566838093,0.903957591,0.47064051
1.678947368,0.554385578,0.930784207,0.483093025
1.763157895,0.540949079,0.953778639,0.496529525
1.847368421,0.526426508,0.972503706,0.511052095
1.931578947,0.510722437,0.986500708,0.526756166
2.015789474,0.493740374,0.995276648,0.54373823
2.1,0.475375327,0.998288187,0.562103276
2.2,0.451594698,0.993508336,0.585883905
2.214102564,0.448054069,0.992037663,0.589424534
2.228205128,0.444464192,0.990357391,0.593014411
2.242307692,0.440823841,0.98846269,0.596654762
2.256410256,0.437131678,0.986348401,0.600346925
2.270512821,0.433386231,0.984008994,0.604092372
2.284615385,0.429585887,0.981438525,0.607892717
2.298717949,0.425728862,0.978630577,0.611749741
2.312820513,0.421813189,0.975578197,0.615665414
2.326923077,0.417836684,0.972273823,0.619641919
2.341025641,0.413796919,0.968709197,0.623681684
2.355128205,0.409691181,0.964875256,0.627787422
2.369230769,0.405516432,0.960762009,0.631962171
2.383333333,0.401269252,0.956358385,0.636209351
2.397435897,0.396945772,0.951652044,0.640532831
2.411538462,0.392541595,0.946629153,0.644937008
2.425641026,0.388051693,0.941274106,0.649426911
2.43974359,0.383470283,0.935569166,0.65400832
2.453846154,0.378790671,0.92949403,0.658687933
2.467948718,0.374005043,0.923025267,0.66347356
2.482051282,0.369104216,0.916135592,0.668374387
2.496153846,0.364077292,0.908792932,0.673401311
2.51025641,0.358911213,0.900959173,0.67856739
2.524358974,0.353590159,0.892588492,0.683888444
2.538461538,0.348094719,0.883625057,0.689383884
2.552564103,0.342400726,0.873999801,0.695077878
2.566666667,0.336477581,0.863625791,0.701001022
2.580769231,0.330285768,0.852391348,0.707192835
2.594871795,0.323773031,0.840149507,0.713705572
2.608974359,0.316868252,0.826701146,0.720610351
2.623076923,0.309471143,0.811766614,0.72800746
2.637179487,0.30143375,0.794934903,0.736044853
2.651282051,0.292524491,0.775564931,0.744954113
2.665384615,0.282350182,0.752571833,0.755128421
2.679487179,0.270158746,0.723886897,0.767319857
2.693589744,0.254201987,0.684715864,0.783276616
2.707692308,0.228431576,0.618522422,0.809047027
2.721794872,0,0,1.037478603
