i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478603,0,0
0.001,0.911622027,0.000911622,0.125856576
0.022357143,0.817125811,0.018268598,0.220352793
0.043714286,0.79589258,0.034791876,0.241586024
0.065071429,0.782537567,0.050920837,0.254941036
0.086428571,0.772494433,0.06676559,0.26498417
0.107785714,0.76429849,0.082380459,0.273180113
0.129142857,0.757287641,0.09779829,0.280190962
0.1505,0.751105155,0.113041326,0.286373449
0.171857143,0.74553624,0.128125728,0.291942363
0.193214286,0.74044119,0.143063816,0.297037413
0.214571429,0.735723799,0.157865307,0.301754804
0.235928571,0.731314833,0.172538064,0.30616377
0.257285714,0.727162683,0.18708857,0.310315921
0.278642857,0.723227761,0.20152225,0.314250842
0.3,0.719478961,0.215843688,0.317999642
0.5,0.690107197,0.345053598,0.347371407
0.584210526,0.679574591,0.39701463,0.357904012
0.668421053,0.669611431,0.447582377,0.367867173
0.752631579,0.659998714,0.496735874,0.377479889
0.836842105,0.650556617,0.544413169,0.386921986
0.921052632,0.641121849,0.590506966,0.396356754
1.005263158,0.631532453,0.634856308,0.40594615
1.089473684,0.621616715,0.677235052,0.415861889
1.173684211,0.611185723,0.717339033,0.42629288
1.257894737,0.600031555,0.754776534,0.437447049
1.342105263,0.587934594,0.789070113,0.449544009
1.426315789,0.574682003,0.819678015,0.4627966
1.510526316,0.560091724,0.846033289,0.477386879
1.594736842,0.544027299,0.867580377,0.493451304
1.678947368,0.526392824,0.883785847,0.511085779
1.763157895,0.507113305,0.894120827,0.530365298
1.847368421,0.486106178,0.898017202,0.551372425
1.931578947,0.463232523,0.894770189,0.57424608
2.015789474,0.438208806,0.883336697,0.599269798
2.1,0.410427228,0.861897178,0.627051376
2.2,0.371694863,0.8177287,0.66578374
2.214102564,0.365401162,0.80903565,0.672077441
2.228205128,0.35878806,0.799453394,0.678690544
2.242307692,0.351784445,0.788808967,0.685694158
2.256410256,0.344290065,0.776859633,0.693188539
2.270512821,0.336157067,0.76324893,0.701321536
2.284615385,0.327154117,0.747421329,0.710324486
2.298717949,0.316888633,0.728437587,0.720589971
2.312820513,0.304610095,0.704508476,0.732868508
2.326923077,0.288575411,0.671492782,0.748903193
2.341025641,0.262765384,0.615140502,0.774713219
2.355128205,0,0,1.037478603
