Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028615029642163406,0.3163765945708476,0.12903452808717822,1.0601770785306959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04165373136697308,0.30732438191474537,0.12912622712198762,1.0679578225312019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04749286430282453,0.2978204828739571,0.12922297701104848,1.076126043784221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05149626911219023,0.28803202276973794,0.12932316072742783,1.0845379913678372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05461159879137747,0.2780080685084092,0.1294263505203664,1.0931513885035244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057192485369025534,0.2677733470443576,0.1295323673554726,1.1019448736356066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.059412448535995234,0.25734272060259,0.1296411369562252,1.110905555739297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.061370464758166675,0.2467259472579426,0.12975264329899194,1.1200249202418966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06312872412810164,0.23592976124756734,0.12986690905278694,1.1292970387812356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06472904373520902,0.22495893981998802,0.12998398632608923,1.1387176499069844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.00035403106879039155,0.21806642557148415,0.1300578998770274,1.144635667064789,0.4665574949695368,0.7158206041546176,0.2841793964963525,1.8084501689001766,1.8084501689005654,1.8084501688621464,8.929747591813735,8.918261617933181,8.905010995116244,230.89780306086732,230.91073635791452,230.92565666356157,0.17695436662104808
254.5,0.025532275582791822,0.1903851524262537,0.13005769821412685,1.164753622221041,0.45170811610085193,0.8150726613522181,0.1849273404977319,1.8084501689041268,1.8084501689005654,1.8084501688691157,7.64516665816368,7.627718184835937,7.607589013274028,226.42867936000107,226.44832647838342,226.47099208408926,0.20089042703829116
257.5,0.03132116610187168,0.15818191710245338,0.1300576580523422,1.1869999606341173,0.42000072960486085,0.9358080100709879,0.06419199052594979,1.8084501687187013,1.8084501689005654,1.8084501689092163,6.212014135783699,6.191284967018786,6.167371069993697,221.44270639672501,221.46604760400672,221.49297484039067,0.2201093671499924
260.5,0.03404720720322338,0.134286558517564,0.13005763255171582,1.2032514104181278,0.3698225506228181,0.9897412837857427,0.010258718847912126,1.8084501689694168,1.8084501689005654,1.8084501690430297,5.188780971979105,5.1683033131464,5.144679566811274,217.88285301644046,217.9059110215577,217.93251154597968,0.2088080410254291
263.5,0.03521183597225236,0.12199787228685222,0.1300576135341707,1.2115445159499663,0.30212194610685866,0.9991175945982174,0.0008824090688739092,1.8084501694016086,1.8084501689005654,1.8084501694007802,4.6752877734979394,4.655996420759126,4.6337412387929495,216.09639755347845,216.11811976859124,216.14317927875564,0.1932377981648227
