Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.001,0.3170276658582326,0.12904073109079503,1.0595975967854308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.001,0.3095386282482062,0.12914221173812154,1.065994999391367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.001,0.3020041467772206,0.1292446008434396,1.0724307744212562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.001,0.29442393176366916,0.12934792030514056,1.078905141407694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.001,0.28679769071119804,0.12945219325302953,1.0854183204308139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.001,0.2791251281965512,0.12955744415271644,1.0919705320539856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.001,0.2714059457461647,0.12966369892150437,1.0985619972514618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.001,0.26363984169982607,0.1297709850573397,1.1051929373270222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.001,0.25582651105950815,0.1298793317826397,1.1118635738224336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.000999999999999878,0.24796564532156823,0.1299887702051172,1.1185741284140194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0010000000000041612,0.24304328481451914,0.13005745693369333,1.1227759333278269,0.5816117582273573,0.2229571633170698,0.7770428368584813,1.8084501689005863,1.8084501689005654,1.8084501688199948,10.133255396311018,10.132345067396836,10.13129487999378,235.08480548857432,235.08583052610098,235.08701304538755,0.07109783977457854
254.5,0.0010000000000756739,0.21999172095686434,0.13005747516003055,1.13976464845376,0.5768760910014701,0.241026388793719,0.758973267949344,1.8084501689005634,1.8084501689005654,1.8084501689236234,9.02120839618051,9.020124308145505,9.018873666118836,231.21596757074144,231.21718826240658,231.21859649517802,0.084668646918233
257.5,0.0010000000069379823,0.19878232577260982,0.13005749168073769,1.1554187701598013,0.5665008356032535,0.27344189233739613,0.7265581215267477,1.8084501689172903,1.8084501689005654,1.8084501690197503,8.029873729405454,8.028338461765482,8.026567323102633,227.76709214272336,227.76882086617695,227.77081518225992,0.1199063448052662
260.5,0.001000000000249499,0.18038587808287998,0.1300575347978358,1.1690135166893802,0.5481388882173399,0.33894034451274707,0.6610596696642115,1.808450168900161,1.8084501689005654,1.8084501689791572,7.1936449844856005,7.190927207759194,7.187791885088539,224.8578377272264,224.86089796522415,224.86442836324355,0.21226180035177517
263.5,0.0010000000063303445,0.16726791694747964,0.13005767386338338,1.178716372480707,0.5156386596344087,0.4953849702305414,0.5046148910888945,1.8084501689022658,1.8084501689005654,1.8084501687749974,6.610221658257942,6.603665229650738,6.596101503369998,222.82811298093816,222.83549557118496,222.84401238654513,0.5120653681506145
