i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478603,0,0
0.001,0.911597138,0.000911597,0.125881465
0.022357143,0.817963777,0.018287333,0.219514826
0.043714286,0.797500907,0.034862183,0.239977696
0.065071429,0.784885422,0.051073616,0.252593182
0.086428571,0.775554306,0.067030051,0.261924297
0.107785714,0.768044837,0.082784261,0.269433767
0.129142857,0.761696726,0.098367691,0.275781877
0.1505,0.756154907,0.113801313,0.281323696
0.171857143,0.751206131,0.129100139,0.286272473
0.193214286,0.746712119,0.144275449,0.290766484
0.214571429,0.742577997,0.159336022,0.294900606
0.235928571,0.738735771,0.174288875,0.298742832
0.257285714,0.735134998,0.189139733,0.302343606
0.278642857,0.73173718,0.203893339,0.305741423
0.3,0.728512237,0.218553671,0.308966366
0.5,0.703563297,0.351781648,0.333915306
0.585714286,0.694570466,0.406819845,0.342908137
0.671428571,0.686116178,0.460678005,0.351362425
0.757142857,0.678005124,0.513346737,0.359473479
0.842857143,0.670080932,0.5647825,0.367397671
0.928571429,0.662201944,0.614901805,0.375276659
1.014285714,0.654222844,0.663568885,0.383255759
1.1,0.645976355,0.71057399,0.391502248
1.185714286,0.637250284,0.755596765,0.400228319
1.271428571,0.627754548,0.798145068,0.409724055
1.357142857,0.617071774,0.83745455,0.420406829
1.442857143,0.604586686,0.872332219,0.432891917
1.528571429,0.589400357,0.900940546,0.448078246
1.614285714,0.570241859,0.920533287,0.467236744
1.7,0.545231064,0.926892808,0.49224754
1.8,0.502668253,0.904802855,0.53481035
1.8125,0.495316231,0.897760668,0.542162372
1.825,0.487063516,0.888890916,0.550415088
1.8375,0.47752782,0.87745737,0.559950783
1.85,0.46598272,0.862068031,0.571495884
1.8625,0.450759787,0.839540104,0.586718816
1.875,0.426251528,0.799221615,0.611227075
1.8875,0,0,1.037478603
