Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.02819225294744127,0.31668887592644895,0.12903498086529305,1.0599030376931033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04102369509706833,0.30828952327665116,0.12912748895955728,1.0671110825712444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.046767780507204,0.29948223564873616,0.12922489230328058,1.0746685532343632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05070529154543983,0.290419992372618,0.12932556767925435,1.08244408853753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.053768870615738894,0.2811478768459319,0.12942907393822678,1.0903989186778846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05630653704031996,0.2716887219484611,0.12953521608160398,1.098513364447021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05848905256273371,0.2620563399831776,0.12964390167563744,1.1067754818036142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.0604138182775344,0.2522598756358215,0.1297550941902762,1.1151773247764587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06214203299847198,0.24230570909745733,0.12986879310268948,1.123713310818304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06371484630425878,0.23219843263751783,0.12998502418626254,1.1323793812253642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0003495624349281799,0.22585077868591985,0.13005831109512636,1.1378214595894371,0.37653538218001664,0.9758474716207816,0.02415252838123179,1.80845016890004,1.8084501689005654,1.8084501688016992,9.299904864769466,9.27839667410308,9.253584070055847,232.18556570421876,232.2097840962967,232.23772328386534,0.06271218991729777
254.5,0.025853966298300866,0.1965737620659479,0.13005764116094148,1.1590800783936963,0.3715254241709311,0.9828543201368561,0.017145672675751247,1.808450168899507,1.8084501689005654,1.808450169001401,7.927810919464694,7.902169352109602,7.872588339564153,227.4120054294368,227.44087803621858,227.4741864893098,0.1086336686840775
257.5,0.032500286329064404,0.15592147633680226,0.13005761608501454,1.1870761775840104,0.3579413825958845,0.9918545267328803,0.008145469417019715,1.808450168875051,1.8084501689005654,1.8084501688822339,6.113740799612349,6.090715988229595,6.064153757265403,221.10081092249774,221.12673704144643,221.15664632270276,0.1723214276999311
260.5,0.036208232618505566,0.11764428159721778,0.13005763888448676,1.2129236429793353,0.3310957809698767,0.9976851683637007,0.002314830769081139,1.8084501690017347,1.8084501689005654,1.8084501691420318,4.495379833162339,4.476326469211771,4.454345839469073,215.47049343268162,215.49194767054456,215.51669803274314,0.25836145107697267
263.5,0.03816579423855155,0.09190350123817352,0.13005767488025627,1.2300908888204893,0.2853689384829719,0.9996437451961684,0.0003562544274109551,1.808450168824871,1.8084501689005654,1.8084501688938952,3.4526340970280462,3.436480760041507,3.417845703243593,211.8427555387012,211.86094432336353,211.88192754407822,0.3979712626217209
