i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.037478603,0,0
0.001,0.911609983,0.00091161,0.12586862
0.022357143,0.817643443,0.018280171,0.219835161
0.043714286,0.796885343,0.034835274,0.24059326
0.065071429,0.783985251,0.05101504,0.253493352
0.086428571,0.774379162,0.066928485,0.263099441
0.107785714,0.766603684,0.082628926,0.27087492
0.129142857,0.759997917,0.098148302,0.277480687
0.1505,0.75420623,0.113508038,0.283272373
0.171857143,0.749014858,0.128723553,0.288463746
0.193214286,0.744285046,0.143806503,0.293193558
0.214571429,0.739921476,0.158766008,0.297557127
0.235928571,0.735855745,0.173609395,0.301622859
0.257285714,0.732037026,0.188342669,0.305441578
0.278642857,0.728426462,0.202970831,0.309052141
0.3,0.724993638,0.217498091,0.312484966
0.5,0.698281918,0.349140959,0.339196686
0.585714286,0.688605201,0.403325903,0.348873403
0.671428571,0.679491965,0.456230319,0.357986638
0.757142857,0.670736591,0.507843419,0.366742012
0.842857143,0.662173658,0.558117798,0.375304945
0.928571429,0.653653992,0.606964421,0.383824611
1.014285714,0.645027474,0.654242152,0.392451129
1.1,0.636127801,0.699740581,0.401350802
1.185714286,0.626756644,0.743154307,0.410721959
1.271428571,0.616666495,0.784047401,0.420812108
1.357142857,0.605544574,0.821810493,0.43193403
1.442857143,0.593005925,0.855622835,0.444472678
1.528571429,0.578608559,0.884444512,0.458870044
1.614285714,0.561890959,0.907052549,0.475587644
1.7,0.542387235,0.9220583,0.495091368
1.8,0.515342974,0.927617353,0.522135629
1.8125,0.511573727,0.927227381,0.525904876
1.825,0.507704303,0.926560353,0.5297743
1.8375,0.503728854,0.925601769,0.533749749
1.85,0.499640577,0.924335068,0.537838026
1.8625,0.495431494,0.922741157,0.542047109
1.875,0.491092164,0.920797808,0.546386439
1.8875,0.486611318,0.918478863,0.550867285
1.9,0.48197536,0.915753185,0.555503243
1.9125,0.477167708,0.912583242,0.560310895
1.925,0.47216787,0.908923149,0.565310733
1.9375,0.466950151,0.904715917,0.570528452
1.95,0.461481768,0.899889447,0.575996836
1.9625,0.455720028,0.894350554,0.581758576
1.975,0.449607943,0.887975688,0.58787066
1.9875,0.443067113,0.880595887,0.59441149
2,0.435985522,0.871971044,0.601493081
2.0125,0.428195175,0.86174279,0.609283428
2.025,0.419427335,0.849340353,0.618051268
2.0375,0.409211515,0.833768462,0.628267088
2.05,0.396603983,0.813038165,0.64087462
2.0625,0.379213976,0.782128826,0.658264627
2.075,0.34662291,0.719242539,0.690855693
2.0875,0,0,1.037478603
