Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028568803557265418,0.3164116503669705,0.12903458981470461,1.060146298559248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04158481965641702,0.30743277074379544,0.12912640218649182,1.067862678747358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04741354454603202,0.2980071883398061,0.1292232489994837,1.075962199803487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.0514097321401307,0.288300432181964,0.1293235119050111,1.0843025098889556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05451939259906409,0.2783611215585879,0.12942676137729703,1.0928417267141914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057095543645351764,0.26821377192548757,0.12953281637572767,1.1015586769268197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05931140310784276,0.2578731293997555,0.12964160037725114,1.1104405745963153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06126577502141276,0.24734888529517038,0.12975309483261058,1.1194789674919836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06302074097623467,0.23664773643174933,0.1298673195541302,1.128667964428757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06461804499579787,0.22577444180279055,0.129984323397947,1.1380033249789527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.00035354352998093593,0.21894348097066704,0.1300581795894563,1.143867553933669,0.429206183226363,0.881441251525526,0.1185587518973685,1.808450168898201,1.8084501689005654,1.8084501688934789,8.97114416663812,8.954018863327256,8.93426251204545,231.04180548976126,231.0610887161595,231.0833345232938,0.09103845193899687
254.5,0.026046386364128295,0.18845578925800552,0.13005769668270467,1.166020388135403,0.42150849912281957,0.9188950079346374,0.08110499137442244,1.8084501688991683,1.8084501689005654,1.8084501689562922,7.557396937667437,7.535556449170755,7.510360494677327,226.1233262473437,226.14791880939555,226.1762896525857,0.17003535202331965
257.5,0.032373838264608976,0.1495752879343018,0.1300576575560558,1.192814285019659,0.39966040220266186,0.9683923110326814,0.03160769104223425,1.8084501688191912,1.8084501689005654,1.8084501689859693,5.839622099912072,5.818314437485635,5.793733169857879,220.14714534393522,220.1711379396357,220.19881664057414,0.2245429629447812
260.5,0.035554824542953924,0.11787415521200272,0.13005764382684415,1.2142701322315612,0.3594321168613308,0.9938191675643796,0.006180829263902347,1.8084501694077029,1.8084501689005654,1.8084501691994757,4.504858687808302,4.48607596266882,4.464407551362504,215.50347066464556,215.52462016107583,215.54901896285614,0.24822882426225754
263.5,0.03701232618306675,0.10004352438602805,0.13005763830231976,1.2262193056603816,0.29924541532615484,0.9993642697318516,0.0006357291934184347,1.8084501684178993,1.8084501689005654,1.8084501685473904,3.778572993163639,3.761874553764067,3.742610647680336,212.97670476974614,212.99550734401848,213.0171986539815,0.26615440883064395
