i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.025237952,0,0
0.001,0.887584374,0.000887584,0.137653578
0.012,0.809834604,0.009718015,0.215403348
0.023,0.785483232,0.018066114,0.23975472
0.034,0.771143754,0.026218888,0.254094198
0.045,0.76030474,0.034213713,0.264933213
0.056,0.751455443,0.042081505,0.27378251
0.067,0.743925697,0.049843022,0.281312256
0.078,0.737346163,0.057513001,0.28789179
0.089,0.731487055,0.065102348,0.293750897
0.1,0.726194728,0.072619473,0.299043225
0.2,0.692259649,0.13845193,0.332978303
0.344444444,0.661593162,0.227882089,0.36364479
0.488888889,0.638255873,0.312036205,0.386982079
0.633333333,0.617493497,0.391079215,0.407744455
0.777777778,0.596970893,0.464310695,0.428267059
0.922222222,0.574484081,0.529801986,0.450753871
1.066666667,0.546354649,0.582778292,0.478883303
1.211111111,0.505170598,0.611817724,0.520067354
1.355555556,0.446386532,0.605101744,0.57885142
1.5,0.380083583,0.570125374,0.64515437
1.8,0.228592794,0.411467029,0.796645159
1.833333333,0.20926772,0.383657487,0.815970232
1.866666667,0.18916703,0.353111789,0.836070923
1.9,0.168274953,0.31972241,0.856963
1.933333333,0.146629081,0.28348289,0.878608871
1.966666667,0.124314291,0.244484772,0.900923662
2,0.101440138,0.202880275,0.923797815
2.033333333,0.078113036,0.15882984,0.947124916
2.066666667,0.054415838,0.112459399,0.970822114
2.1,0.030399385,0.063838709,0.994838567
2.13,0,0,1.025237952
