Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028569335661433208,0.3164112538701943,0.1290345842879974,1.0601466542019145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04158561285915856,0.3074315446973754,0.12912638540210153,1.0678637779890725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04741445753301206,0.2980050761915447,0.1292232206548646,1.0759640926119878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05141072818643781,0.28829739546079813,0.12932347189627247,1.0843052300990494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.054520453888097314,0.27835712686112435,0.12942670967469766,1.0928453036105477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057096659430853645,0.2682087882412183,0.12953275299949024,1.1015631376223125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.0593125661178596,0.25786712703063097,0.1296415253894144,1.110445944990468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.061266979968530165,0.2473418352966897,0.1297530083344939,1.1194852727637463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06302198382185421,0.23663961028072072,0.1298672216867043,1.128675229326848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06461932254227062,0.22576521118041185,0.12998421434409382,1.1380115740083254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.00035354914347421296,0.21893355320818658,0.1300580636373541,1.1438764238916528,0.4863630449636671,0.6023223883108664,0.39767761139031715,1.808450168900192,1.8084501689005654,1.808450168916183,8.97088086819226,8.960869671771846,8.949844315058268,231.04089776330883,231.0521704493213,231.0645850878109,0.12500781691162932
254.5,0.040990329379478184,0.20843210762892914,0.13005778936235962,1.15035031674604,0.4725068374383638,0.4728817226853842,0.5271182772882914,1.808450168901643,1.8084501689005654,1.8084501689023116,17.001278468384243,16.99614216095042,16.990485532184945,492.4369090176974,492.4426925403189,492.44906194885755,0.07012909560089355
257.5,0.06407139976871801,0.20359648410627124,0.13005770573488099,1.1525483858108407,0.43103710096205833,0.7119484992995022,0.28805150086621095,1.808450168892231,1.8084501689005654,1.8084501689084331,16.493088600021075,16.48333479224757,16.47259289832176,489.0751258704415,489.0861087348106,489.0982041919687,0.16482526465658628
260.5,0.07600733151242402,0.20077674914807708,0.13005771253429643,1.1535884218772552,0.3061211099833292,0.9928899100534881,0.007110090511911616,1.808450168908871,1.8084501689005654,1.8084501688493975,16.19940987138586,16.182980596101974,16.164886992406306,487.13238047884084,487.1508799721991,487.1712535124565,0.3187205499766892
263.5,0.08558639019465118,0.1995951923923615,0.13005764329043507,1.1539593666774142,-0.035108294894460955,0.9999999706709862,2.8772051893133424e-08,1.8084501688107162,1.8084501689005654,1.8084501690107846,12.263434867319702,12.249549515931252,12.234257542252772,363.28710330878334,363.3027383238007,363.3199572065945,0.32131727285403844
