i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.028610067,0,0
0.001,0.894434457,0.000894434,0.13417561
0.012,0.819214657,0.009830576,0.20939541
0.023,0.797216976,0.01833599,0.231393092
0.034,0.784608632,0.026676693,0.244001435
0.045,0.775211884,0.034884535,0.253398183
0.056,0.767605249,0.042985894,0.261004818
0.067,0.761145642,0.050996758,0.267464426
0.078,0.755488932,0.058928137,0.273121135
0.089,0.750426556,0.066787964,0.278183511
0.1,0.745822926,0.074582293,0.282787141
0.5,0.661375967,0.330687984,0.3672341
0.614285714,0.646147631,0.396919259,0.382462436
0.728571429,0.632238536,0.460630933,0.396371532
0.842857143,0.619173059,0.521874435,0.409437008
0.957142857,0.606592277,0.580595465,0.422017791
1.071428571,0.594187098,0.636629034,0.434422969
1.185714286,0.581653648,0.68967504,0.446956419
1.3,0.568653465,0.739249504,0.459956602
1.414285714,0.554769729,0.784602902,0.473840338
1.528571429,0.539458251,0.824600469,0.489151816
1.642857143,0.522012371,0.857591752,0.506597696
1.757142857,0.501611657,0.88140334,0.52699841
1.871428571,0.477567319,0.893733125,0.551042749
1.985714286,0.449696398,0.892968561,0.578913669
2.1,0.41831195,0.878455094,0.610298117
2.2,0.388062211,0.853736863,0.640547857
2.236842105,0.376164369,0.8414203,0.652445698
2.273684211,0.363770515,0.827099275,0.664839553
2.310526316,0.35078907,0.810507377,0.677820998
2.347368421,0.337098158,0.791293571,0.691511909
2.384210526,0.322538937,0.769000729,0.70607113
2.421052632,0.306906254,0.743036194,0.721703813
2.457894737,0.289932512,0.712623594,0.738677556
2.494736842,0.271250211,0.676697895,0.757359856
2.531578947,0.250284528,0.633615042,0.778325539
2.568421053,0.225899736,0.580205637,0.802710331
2.605263158,0.19490429,0.507776967,0.833705777
2.642105263,0.137075126,0.362166912,0.891534941
2.678947368,0,0,1.028610067
