Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028526777764161605,0.3164431443512506,0.12903479495997158,1.0601184132214847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04152217467286028,0.3075301429199915,0.12912701838474458,1.06777649184871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04734144057167522,0.2981749094187142,0.12922427660254807,1.0758137978020417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05133106939613787,0.2885415393223159,0.12932494442651318,1.0840892444725945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05443557808414486,0.2786782496936649,0.12942858909140267,1.0925613066459863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05700742600221275,0.26860936573705696,0.12953502693433,1.101208981508497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.05921955661182666,0.25834952897309105,0.12964417893277966,1.1100195785179343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.061170617223202904,0.24790837040155983,0.1297560239700999,1.118984702212934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06292259080786299,0.2372925529047782,0.12987057911692312,1.1280984954945437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06451715498023008,0.22650681864523772,0.12998789018101836,1.1373567371427928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0010615916188268246,0.2200549904759943,0.13005838273036444,1.1428942799346349,0.47255755121828585,0.45902696749308947,0.5409730324257567,1.8084501688925652,1.8084501689005654,1.808450168921342,18.250622488972898,18.24783422921629,18.2446934936224,500.70166325139036,500.70480285383445,500.70833934684794,0.06999373433884121
254.5,0.025872659344901513,0.21490472093223323,0.13005755232376962,1.1455423806169933,0.4635179088841502,0.7353534889578633,0.2646465109790813,1.8084501689072634,1.8084501689005654,1.8084501689358996,8.780376442626762,8.763232712725182,8.743921770626594,230.37810207970267,230.39740605458738,230.4191503274752,0.18681058699432626
257.5,0.06431349572444185,0.20235150664445745,0.13005758647170693,1.152391739172391,0.4352563378408745,0.6901705799224749,0.3098294191639344,1.8084501688758425,1.8084501689005654,1.8084501690009303,16.363530217531302,16.3524655771752,16.340002208323128,488.2180689224499,488.2305277946283,488.24456164611,0.15468715057618443
260.5,0.03067046580840074,0.19213603464993806,0.13005766039837854,1.157835425662715,0.3899712919869037,0.9692269884828801,0.03077301231029246,1.8084501689066612,1.8084501689005654,1.8084501688955115,7.724731124819559,7.696176891976696,7.664012996472686,226.70548613382718,226.73763842488614,226.77385522453014,0.29100907212450866
263.5,0.0707558346888518,0.1865891999465725,0.13005768066710255,1.1607594762231843,0.312660408240276,0.9920442870145039,0.007955712945624744,1.8084501688351993,1.8084501689005654,1.808450168854686,14.760518562489407,14.738346556976703,14.713371693448558,477.6138059482144,477.63877180103435,477.66689369405583,0.29749945596127936
