i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.02523794,0,0
0.001,0.887812857,0.000887813,0.137425083
0.012,0.812500403,0.009750005,0.212737537
0.023,0.790309965,0.018177129,0.234927976
0.034,0.777943121,0.026450066,0.24729482
0.045,0.768806984,0.034596314,0.256430956
0.056,0.761471427,0.0426424,0.263766514
0.067,0.755290242,0.050604446,0.269947699
0.078,0.74991757,0.05849357,0.27532037
0.089,0.745143129,0.066317738,0.280094811
0.1,0.740829857,0.074082986,0.284408084
0.5,0.664258839,0.33212942,0.360979101
0.633333333,0.647531949,0.410103568,0.377705991
0.766666667,0.631583302,0.484213865,0.393654638
0.9,0.615664091,0.554097682,0.40957385
1.033333333,0.599131262,0.619102304,0.426106678
1.166666667,0.581340283,0.67823033,0.443897658
1.3,0.561648139,0.73014258,0.463589802
1.433333333,0.539528224,0.773323788,0.485709716
1.566666667,0.514638441,0.806266891,0.5105995
1.7,0.486512249,0.827070824,0.538725691
1.8,0.462591234,0.832664222,0.562646706
1.847368421,0.450125664,0.831547937,0.575112277
1.894736842,0.436761288,0.827547703,0.588476653
1.942105263,0.422371474,0.820289863,0.602866466
1.989473684,0.406847274,0.809411945,0.618390666
2.036842105,0.390107076,0.794586517,0.635130865
2.084210526,0.372084328,0.775502072,0.653153613
2.131578947,0.352688257,0.751782864,0.672549683
2.178947368,0.331752245,0.722870681,0.693485696
2.226315789,0.308999613,0.687930717,0.716238327
2.273684211,0.284068341,0.645881703,0.741169599
2.321052632,0.256639472,0.595673721,0.768598469
2.368421053,0.22662742,0.536749152,0.798610521
2.415789474,0.19420049,0.469147499,0.831037451
2.463157895,0.159482403,0.392830341,0.865755537
2.510526316,0.122161139,0.306688754,0.903076802
2.557894737,0.081202903,0.207708477,0.944035038
2.605263158,0.034709393,0.090427103,0.990528547
2.652631579,0,0,1.02523794
