Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.02853787010617262,0.31643467658421076,0.1290348870686596,1.0601256817660507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04153870879373879,0.30750396897094673,0.1291273042124287,1.0677989572289615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.047360470998441206,0.29812983738039756,0.12922477091906434,1.0758524802743155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.051351830703123054,0.2884767614194734,0.12932565822904102,1.0841448339795914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05445769893765497,0.27859306611796547,0.12942953258824932,1.0926343998379355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057030682429585706,0.2685031278913553,0.12953621019791267,1.101300130458039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.059243797051186424,0.25822161651733944,0.129645612199243,1.1101293103453052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.06119573147536667,0.2477581794007905,0.1297577178256683,1.119113529132923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06294849470109058,0.2371194887337818,0.12987254463812237,1.1282469206873869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06454378186905632,0.22631029146505882,0.12999013910143944,1.1375252588243332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0013129364009829693,0.2200230345787977,0.13005884668598114,1.1429214935990923,0.4950704597804641,0.42505416990655626,0.5749458301061615,1.808450168900456,1.8084501689005654,1.8084501689108137,13.821781169676397,13.819840495215116,13.817703225372222,371.4092306853284,371.4114159000556,371.4138224827308,0.05844309506031639
254.5,0.05221782257542482,0.21769713384565328,0.13005754098112948,1.1438525733619236,0.4658409815378867,0.4971187107302888,0.5028812894027387,1.8084501689005663,1.8084501689005654,1.8084501688908186,17.99367979141791,17.989797054247614,17.985520985680992,499.001855866942,499.00622785957404,499.01104274645616,0.08262871656652247
257.5,0.057342338520440995,0.21439104425653974,0.1300575283951114,1.1451560762167599,0.4171431509515209,0.7722492847264262,0.22775071572408084,1.8084501689023689,1.8084501689005654,1.8084501689153054,17.635905623676276,17.624104212431394,17.61110728746504,496.6351049687979,496.648393450802,496.6630280906715,0.20618423095564228
260.5,0.048330313034949814,0.21052261172883466,0.1300576371933297,1.1468949506810908,0.3437340574445762,0.9727412859352681,0.027258713372425525,1.808450168912261,1.8084501689005654,1.8084501688618437,17.221758989657143,17.19730863202995,17.170381389441218,493.8954376561083,493.9229689513541,493.9532892385729,0.3221729889103051
263.5,0.023955026443056363,0.20580442894930867,0.13005773720784936,1.1495423446297355,0.26992325034569803,0.9994556760049931,0.0005443235706053676,1.80845016897851,1.8084501689005654,1.8084501687721861,8.354208556319216,8.319701092084857,8.281697931774486,228.89545395393623,228.93430963042772,228.97710148823109,0.33057096849658635
