i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.030790724,0,0
0.001,0.898761075,0.000898761,0.132029649
0.012,0.824458231,0.009893499,0.206332493
0.023,0.803466277,0.018479724,0.227324447
0.034,0.791640019,0.026915761,0.239150705
0.045,0.782997642,0.035234894,0.247793082
0.056,0.776129526,0.043463253,0.254661198
0.067,0.77039342,0.051616359,0.260397304
0.078,0.765445681,0.059704763,0.265345042
0.089,0.761078305,0.067735969,0.269712418
0.1,0.757156192,0.075715619,0.273634532
0.5,0.690881245,0.345440623,0.339909479
0.607142857,0.67995154,0.41282772,0.350839184
0.714285714,0.669856834,0.478469167,0.360933889
0.821428571,0.660307482,0.542395432,0.370483242
0.928571429,0.651105861,0.604598299,0.379684863
1.035714286,0.642102049,0.665034265,0.388688674
1.142857143,0.633169692,0.723622505,0.397621032
1.25,0.62419037,0.780237962,0.406600354
1.357142857,0.615041108,0.834698646,0.415749616
1.464285714,0.605581799,0.886744777,0.425208925
1.571428571,0.595639932,0.936005607,0.435150792
1.678571429,0.584989808,0.981947177,0.445800916
1.785714286,0.573323352,1.0237917,0.457467372
1.892857143,0.560211598,1.060400524,0.470579126
2,0.545065149,1.090130299,0.485725574
2.2,0.508600429,1.118920945,0.522190294
2.234210526,0.500931799,1.119187097,0.529858925
2.268421053,0.492732993,1.117725895,0.53805773
2.302631579,0.483935766,1.114325776,0.546854958
2.336842105,0.474446077,1.10870557,0.556344647
2.371052632,0.464130974,1.100478967,0.56665975
2.405263158,0.452799928,1.089102985,0.577990796
2.439473684,0.440177604,1.073801683,0.590613119
2.473684211,0.425861762,1.053447517,0.604928961
2.507894737,0.409249587,1.026354886,0.621541136
2.542105263,0.389376792,0.989836792,0.641413932
2.576315789,0.364455721,0.938953028,0.666335003
2.610526316,0.330002625,0.861480538,0.700788098
2.644736842,0.256154966,0.677462476,0.774635758
2.678947368,0,0,1.030790724
