Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.02856839664795065,0.31641137827761223,0.12903507870941205,1.0601457765871418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04158421307655309,0.3074319480261403,0.12912790124881277,1.067861068132994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.04741284635870881,0.29800580537318483,0.12922580782630091,1.0759594318545775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05140897042945849,0.2882984879185977,0.1293271614546174,1.0842985373950593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.05451858098982317,0.27835861787882477,0.12943152711873995,1.0928365084123914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.057094690355815714,0.2682107124537503,0.12953872100876992,1.1015521743653374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.059310513699519646,0.257869519001415,0.12964866492930746,1.1104327508147807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.061264853538332865,0.24734472982148636,0.12976133923458405,1.119469786368927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.0630197905077213,0.2366430425649899,0.1298767629811396,1.1286573903074688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06461706798824471,0.2257692169470114,0.1299949844870561,1.1379913223940015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0013141336928715153,0.21944435338152285,0.1300640617221731,1.143419898713763,0.48054335453465874,0.5000365449857399,0.4999634549935398,1.8084501689004475,1.8084501689005654,1.8084501689019519,13.776637108251007,13.773925715886822,13.770939652408652,371.1739135522859,371.1769666014397,371.18032893243185,0.014297856616100517
254.5,0.052803849619960576,0.216993117517156,0.13005759693519373,1.1444057021087142,0.4732122360292548,0.45919553402812147,0.5408044639842692,1.8084501689004449,1.8084501689005654,1.8084501688921355,17.917410933771084,17.914253346648138,17.910775887719158,498.49731987068094,498.5008753386449,498.50479098478354,0.022930615109858655
257.5,0.058557952770188555,0.21324135002657674,0.13005737460248973,1.1458796435781957,0.4601155809410616,0.5340891560425206,0.46591084382259806,1.8084501689005335,1.8084501689005654,1.8084501689339765,17.513031350377176,17.507659641422023,17.501743764347843,495.82226323172057,495.8283118183045,495.8349731424781,0.0619627382478666
260.5,0.05061185737708686,0.20778537510369016,0.13005744578899164,1.148312387185222,0.43902775650331033,0.6619985947157393,0.3380014050786912,1.8084501689634491,1.8084501689005654,1.8084501688486776,16.932602859864236,16.92129057987742,16.908832336440987,491.9826062933538,491.99534400970674,492.0093720899299,0.18715973784457016
263.5,0.02682726828378385,0.19716278615300972,0.1300578409367705,1.1541877573422437,0.4081379642583928,0.9433132158498763,0.056686784854401255,1.808450168857629,1.8084501689005654,1.8084501688803925,7.954847581122905,7.922379021383659,7.886621311908874,227.50606812096723,227.54262797493902,227.58289143741737,0.713649052175807
