i_ext [A/cm2],Voltage [V],Power [W/cm2],Eta [V]
0,1.027568398,0,0
0.001,0.892445482,0.000892445,0.135122917
0.012,0.817784743,0.009813417,0.209783655
0.023,0.796353036,0.01831612,0.231215362
0.034,0.784397539,0.026669516,0.243170859
0.045,0.775633652,0.034903514,0.251934746
0.056,0.768647341,0.043044251,0.258921057
0.067,0.762795649,0.051107308,0.264772749
0.078,0.757734921,0.059103324,0.269833477
0.089,0.753256917,0.067039866,0.274311481
0.1,0.749226335,0.074922633,0.278342063
0.5,0.679606364,0.339803182,0.347962034
0.607142857,0.667792646,0.405445535,0.359775752
0.714285714,0.656757606,0.469112575,0.370810793
0.821428571,0.646181484,0.530791933,0.381386914
0.928571429,0.635831689,0.59041514,0.391736709
1.035714286,0.625514968,0.647854788,0.40205343
1.142857143,0.61504906,0.702913211,0.412519338
1.25,0.604241894,0.755302367,0.423326504
1.357142857,0.592873405,0.804613907,0.434694993
1.464285714,0.580679214,0.850280278,0.446889184
1.571428571,0.567340971,0.891535812,0.460227427
1.678571429,0.552496448,0.927404751,0.475071951
1.785714286,0.535784344,0.956757757,0.491784054
1.892857143,0.516902386,0.978422374,0.510666012
2,0.495571844,0.991143689,0.531996554
2.2,0.446949192,0.983288223,0.580619206
2.234210526,0.436930538,0.976194807,0.59063786
2.268421053,0.426196019,0.966792022,0.601372379
2.302631579,0.414632577,0.954746066,0.612935821
2.336842105,0.402119017,0.939688651,0.625449381
2.371052632,0.388528679,0.921221948,0.639039719
2.405263158,0.373724964,0.898906888,0.653843434
2.439473684,0.357542261,0.872214938,0.670026137
2.473684211,0.339748052,0.840429393,0.687820346
2.507894737,0.3199901,0.802501487,0.707578299
2.542105263,0.297742382,0.756892476,0.729826016
2.576315789,0.27226057,0.701429206,0.755307828
2.610526316,0.24245785,0.632942598,0.785110548
2.644736842,0.206099986,0.545080226,0.821468412
2.678947368,0.15421395,0.413131057,0.873354448
2.713157895,0,0,1.027568398
