Depth [um],eps_w [-],rho_k O2(gas),rho_k H2O(gas),rho_k N2(gas),phi_dl,theta_k Pt(S),theta_k O(S),rho_k r0 H(Naf),rho_k r1 H(Naf),rho_k r2 H(Naf),rho_k r0 O2(Naf),rho_k r1 O2(Naf),rho_k r2 O2(Naf),rho_k r0 H2O(Naf),rho_k r1 H2O(Naf),rho_k r2 H2O(Naf),i_far_frac [-]
12.5,0.028568624057195124,0.3164113531810988,0.12903495481378055,1.0601459911859015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.04158455208647567,0.30743186574206294,0.1291275213930111,1.0678617307223472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.047413236577894424,0.298005654998664,0.12922515950380356,1.0759605714471505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.05140939616531808,0.2882982606941114,0.1293262368932717,1.0843001738936575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.054519034628773506,0.2783583054277055,0.12943031991148418,1.0928386589731984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.05709516730640632,0.26821030657025824,0.12953722547062954,1.1015548549870873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.5,0.059311010854694514,0.2578690114982912,0.12964687579885856,1.1104359769284813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.49999999999997,0.0612653686385204,0.2473441123638831,0.12975925153193035,1.1194735728664615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.5,0.06302032182686015,0.2366423067398912,0.12987437193851148,1.1286617518989783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.5,0.06461761416017564,0.22576835429438624,0.12999228546473643,1.1379962738868288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.0013141426137323747,0.2194434157740483,0.13006118365610658,1.1434251942389528,0.4864849089476634,0.4684998701944627,0.5315001297337747,1.8084501689006307,1.8084501689005654,1.8084501689082546,13.776596743513839,13.774237780467429,13.771639848313843,371.17370976441316,371.17636597538285,371.17929126744855,0.024192696314505876
254.5,0.052679992988070704,0.21701705676517918,0.13005755145137274,1.1443983740296004,0.4741623784119581,0.45433889866189286,0.5456611010632116,1.80845016890037,1.8084501689005654,1.8084501688876566,17.92000793363428,17.91688579809327,17.913447382084563,498.5145017729466,498.51801732215006,498.5218890056539,0.04457750039605109
257.5,0.05823243751496139,0.21339431590265887,0.13005743470146752,1.1458229221840266,0.45019172402050506,0.5904470744877978,0.40955292531147963,1.8084501689004335,1.8084501689005654,1.808450168890933,17.529312371710862,17.52256014471629,17.515123899530234,495.92996669066594,495.93756975143765,495.9459430220863,0.11691899205995178
260.5,0.04990220936047656,0.20848567606824772,0.13005755440373934,1.1480170434575043,0.41092229058303,0.807931116221843,0.19206888377912368,1.8084501688995893,1.8084501689005654,1.8084501689213524,17.006225356887924,16.989184854273,16.970418104319204,492.46963520787705,492.4888229480249,492.50995445626535,0.2913095464428227
263.5,0.02561273567747251,0.2008010839422575,0.1300578083146053,1.1522922058921108,0.3588317379516484,0.988569755627928,0.011430244920118468,1.8084501688754713,1.8084501689005654,1.8084501689497892,8.122372024822283,8.08782095566572,8.049769773142222,228.0888895682001,228.12779434416422,228.17064027534525,0.5230012647928624
